À,1301
Á,1778
Â,551
Ã,1060
Ï,1885
Ä,810
Å,107
¨,1
Î,844
Æ,422
ß,226
Ç,674
È,367
É,3
Ê,2445
Ñ,1915
Ë,742
Ì,1368
R,550
Í,498
Ð,611
Ò,1061
Ó,287
Ô,203
Õ,298
Ö,244
×,734
Ø,290
Ù,161
Ý,237
Þ,147
A,3579
B,1104
C,2791
D,1180
E,1158
F,275
G,763
H,1202
I,403
J,94
K,258
L,1183
M,1956
N,942
O,937
P,3078
Q,45
S,2051
T,1583
U,166
V,207
W,103
X,187
Y,53
Z,243
